Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake North Browns	Stearns	Eden Valley	324	130	41	4.5	Minnesota	US
Lake North Lida	Otter Tail	Pelican Rapids	5564	2380	58	7	Minnesota	US
Lake North Star	Itasca	Marcell	1059	314	90	12.9	Minnesota	US
Lake North Ten Mile	Otter Tail	Fergus Falls	745	745	14	2	Minnesota	US
Lake North Turtle	Otter Tail	Underwood	1484	1454	19	9.6	Minnesota	US
Lake North Twin	Beltrami	Turtle River	313	138	59	16	Minnesota	US
Lake North Twin	Itasca	Marble	250	73	42	11	Minnesota	US
Lake North Twin	Mahnomen	Nay-tah-waush	901	900	16	9	Minnesota	US
Lake Northern Light	Cook	Grand Marais	433	433	7.5	6	Minnesota	US
Lake Norway	Kandiyohi	Sunburg	2344	2152	33	7.2	Minnesota	US
Lake Norway	Otter Tail	Underwood	384	242	19	3.6	Minnesota	US
Lake No-Ta-She-Bun(Willow)	Itasca	Remer	238	72	45	20	Minnesota	US
Lake Oak	Pine	Duquette	442	433	20	2.5	Minnesota	US
Lake O'Dowd	Scott	Shakopee	258	235	22	1.8	Minnesota	US
Lake Ojibway	Lake	Ely	371	134	115	16	Minnesota	US
Lake Okamanpeedan	Martin	Ceylon	2294.3	2294.3	6.5	1.5	Minnesota	US
Lake Oliver	Swift	Appleton	416	300	35	5	Minnesota	US
Lake Olson	Stevens	Cyrus	425	425	20	2	Minnesota	US
Lake Onamia	Mille Lacs	Onamia	2142	2142	10	4.5	Minnesota	US
Lake One Pine	St. Louis	Ely	363	363	13	5	Minnesota	US
Lake Orchard	Dakota	Lakeville	234	177	33	8.8	Minnesota	US
Lake Ore-be-gone	St. Louis	Gilbert	140	N/A	N/A	N/A	Minnesota	US
Lake Orono	Sherburne	Elk River	281	281	18	1	Minnesota	US
Lake Orwell	Otter Tail	Fergus Falls	782	626	25	4.7	Minnesota	US
Lake Osakis	Todd	Osakis	6270	3146	73	3.5	Minnesota	US
Lake Oscar	Douglas	Holmes City	1040	750	25	6	Minnesota	US
Lake Otter Tail	Otter Tail	Ottertail	13725	6468	120	10.5	Minnesota	US
Lake Owasso	Ramsey	Shoreview	384	293	37	7	Minnesota	US
Lake Owen	Itasca	Bigfork	257	187	34	17	Minnesota	US
Lake Ox Yoke	Cass	Backus	166	88	42	12	Minnesota	US
Lake Page	Stevens	Hancock	372	171	17	7	Minnesota	US
Lake Park	Carlton	Mahtowa	375	375	16	9.25	Minnesota	US
Lake Parley	Carver	Waconia	242	231	18	6	Minnesota	US
Lake Paul	Otter Tail	Perham	319	109	81	23	Minnesota	US
Lake Pearl	Becker	Detroit Lakes	237	168.2	54	7	Minnesota	US
Lake Pearl	Stearns	Cold Spring	733	511	17	3.7	Minnesota	US
Lake Peavy	Morrison	Sullivan	123	45	63	16.2	Minnesota	US
Lake Pelican	Crow Wing	Breezy Point	8253	3910	104	19.5	Minnesota	US
Lake Pelican	Grant	Ashby	3932	3460	21	4	Minnesota	US
Lake Pelican	Otter Tail	Pelican Rapids	3986	1625	55	6.4	Minnesota	US
Lake Pelican	Pope	Glenwood	519	416	34	6	Minnesota	US
Lake Pelican	St. Louis	Orr	10945	5879	38	9.5	Minnesota	US
Lake Pelican	Stearns	St.Anna	337	135	46	13.5	Minnesota	US
Lake Pelkey	Morrison	Little Falls	96	96	7	2.3	Minnesota	US
Lake Peltier	Anoka	Centerville	465	412	18	2.8	Minnesota	US
Lake Pepin	Goodhue	Lake City	25060	8060	60	N/A	Minnesota	US
Lake Pequaywan	St. Louis	Rollins	418	240	33	9.5	Minnesota	US
Lake Perch	Lincoln	Ivanhoe	224	180	16.2	2	Minnesota	US
Lake Perch	St. Louis	Chisholm	339	170	30	11	Minnesota	US
Lake Perent	Lake	Isabella	1800	1368	28	6	Minnesota	US
Lake Perkins	Stevens	Morris	512	512	13	3.5	Minnesota	US
Lake Phalen	Ramsey	St. Paul	198	N/A	24	N/A	Minnesota	US
Lake Pickeral	Freeborn	Albert Lea	620	620	6	0.5	Minnesota	US
Lake Pickerel	Becker	Detroit Lakes	332	123	74	17.7	Minnesota	US
Lake Pickerel	Hubbard	Park Rapids	311	270	26	11.5	Minnesota	US
Lake Pickerel	Itasca	Effie	293	52	70	11	Minnesota	US
Lake Pickerel	Otter Tail	Maine	829	274	78	9	Minnesota	US
Lake Picket	St. Louis	Buyck	312	121	23	9	Minnesota	US
Lake Pierson	Carver	Victoria	235	119	40	5.4	Minnesota	US
Lake Pierz	Morrison	Genola	170	65	34	7.5	Minnesota	US
Lake Pike	Cass	Cass Lake	4760	2238	95	n/a	Minnesota	US
Lake Pike	Cook	Grand Marais	810	218	45	17.5	Minnesota	US
Lake Pimushe	Beltrami	Pennington	1268	654	40	5.8	Minnesota	US
Lake Pine (Big)	Aitkin	Cutler	614	259	78	11.5	Minnesota	US
Lake Pine (Little)	Aitkin	Aitkin	220	103	44	12.9	Minnesota	US
Lake Pine	Clearwater	Gonvick	1188	1188	15	6.5	Minnesota	US
Lake Pine	Crow Wing	Cross Lake	390	387	18	10	Minnesota	US
Lake Pine (Big)	Otter Tail	Perham	4730	2386	76	6	Minnesota	US
Lake Pine (Little)	Otter Tail	Perham	1969	698	63	18.5	Minnesota	US
Lake Pine	St. Louis	Fairbanks	430	430	14	4	Minnesota	US
Lake Pine Island	Todd	Cushing	234	124	26	12	Minnesota	US
Lake Pine Mountain	Cass	Backus	1567	737	80	7.3	Minnesota	US
Lake Pine Tree	Washington	Dellwood	120	109	31	n/a	Minnesota	US
Lake Plantagenet	Hubbard	Bemidji	2529	986	65	5.2	Minnesota	US
Lake Platte	Crow Wing	Sullivan	1746	1694	23	5	Minnesota	US
Lake Pleasant	Cass	Hackensack	1038	410	72	13	Minnesota	US
Lake Pleasant	Otter Tail	Underwood	370	235	38	13.5	Minnesota	US
Lake Pleasant	St. Louis	Eveleth	345	154	33	7	Minnesota	US
Lake Pleasant	Stearns	Pleasant Lake	222	100	33	8	Minnesota	US
Lake Pleasant	Wright	Annanndale	509	260	74	11.5	Minnesota	US
Lake Pocket	Douglas	Lowry	275	138	40	8	Minnesota	US
Lake Pokegama	Itasca	Grand Rapids	6612	1978	112	19	Minnesota	US
Lake Pokegama	Pine	Pine City	1474	903	25	3.3	Minnesota	US
Lake Ponto	Cass	Backus	347	102	60	17	Minnesota	US
Lake Poposky	Beltrami	Bemidji	2142	2035	20	N/A	Minnesota	US
Lake Portage	Aitkin	McGregor	316	313	18	6	Minnesota	US
Lake Portage	Hubbard	Park Rapids	412	410	17	2.8	Minnesota	US
Lake Portage	Otter Tail	Ottertail	265	148	49	14.2	Minnesota	US
Lake Portsmouth Pit	Crow Wing	Crosby	121		450+	21	Minnesota	US
Lake Potato	Hubbard	Park Rapids	2100	426	87	9	Minnesota	US
Lake Prairie	Itasca	Grand Rapids	1064	853	31	6.5	Minnesota	US
Lake Prairie	Otter Tail	Pelican Lake	1016	801	22	11.9	Minnesota	US
Lake Prairie	St. Louis	Floodwood	848	272	47	4	Minnesota	US
Lake Preston	Renville	Buffalo Lake	670	670	11	2.7	Minnesota	US
Lake Prior (Lower)	Scott	Prior Lake	810	373	60	9.5	Minnesota	US
Lake Prior (Upper)	Scott	Prior Lake	354	329	50	3.5	Minnesota	US
Lake Pulaski	Wright	Buffalo	702	122	87	8	Minnesota	US
Lake Rabbit	Aitkin	Glen	214	77	51	8	Minnesota	US
Lake Rabideau	Beltrami	Blackduck	577	515	112	14	Minnesota	US
Lake Rachel	Douglas	Holmes City	496	124	65	9	Minnesota	US
Lake Rainy	Koochiching	International Falls	220800	18949	161	N/A	Minnesota	US
Lake Ramsey	Wright	Maple Lake	275	135	80	4	Minnesota	US
Lake Rat	Aitkin	Palisade	405	389	21	5.5	Minnesota	US
Lake Rat Root	Koochiching	International Falls	1125	1125	8	N/A	Minnesota	US
Lake Razor	Pine	Cloverdale	100	47	36	10.5	Minnesota	US
Lake Red (Lower)	Beltrami	Ponemah	180999				Minnesota	US
Lake Red Rock	Douglas	Kensington	708	595	22	13	Minnesota	US
Lake Reeds	Waseca	Elysian	187	110	58	12.5	Minnesota	US
Lake Reno	Pope	Alexandria	3722	1303	23	6.5	Minnesota	US
Lake Reshanau	Anoka	Centerville	336	336	16	n/a	Minnesota	US
Lake Rhine	Pine	Finlayson	111	111	8	5.8	Minnesota	US
Lake Rice	Anoka	Lino Lakes	442	442	5	n/a	Minnesota	US
Lake Rice	Crow Wing	Brainerd	434	202	25	6	Minnesota	US
Lake Rice	Faribault	Wells	266	266	4	N/A	Minnesota	US
Lake Rice	Hennepin	Maple Grove	314	314	12	2.5	Minnesota	US
Lake Rice	Itasca	Grand Rapids	857	229	68	14.75	Minnesota	US
Lake Rice	Morrison	Little Falls	323	323	8	4	Minnesota	US
Lake Rice	Otter Tail	Vergas	350	350	8	3.3	Minnesota	US
Lake Rice	Stearns	Paynesville	1639	958	41	4.6	Minnesota	US
Lake Rice	Wright	Clearwater	88	59	24	4.5	Minnesota	US
Lake Rice	Steele	Owatonna	697		5		Minnesota	US
Lake Riley	Carver	Chanhassen	297	109	49	2.7	Minnesota	US
Lake Ripley	Meeker	Litchfield	558	466	18	5.5	Minnesota	US
Lake Ripple	Aitkin	Aitkin	556	295	39	n/a	Minnesota	US
Lake Roberds	Rice	Shieldsville	625.4	393.4	43	1.5	Minnesota	US
Lake Rock	Aitkin	McGregor	317	317	13	4.8	Minnesota	US
Lake Rock	Becker	Detroit Lakes	1048	1001	18	4	Minnesota	US
Lake Rock	Lyon	Russell	439	422	7.2	1	Minnesota	US
Lake Rocky	St. Louis	Ely	116	42	40	7	Minnesota	US
Lake Rock	Pine	N/A	N/A	N/A	N/A	N/A	Minnesota	US
Lake Roosevelt	Cass	Outing	1585	390	129	15.5	Minnesota	US
Lake Roosevelt	Crow Wing	Outing	1585	390	129	15.5	Minnesota	US
Lake Rose	Otter Tail	Vergas	1190	465	137	9	Minnesota	US
Lake Ross	Crow Wing	Emily	487	317	30	3.5	Minnesota	US
Lake Rossman	Becker	Lake Park	241	232	20	7	Minnesota	US
Lake Round	Aitkin	Tamarack	577	375	27	n/a	Minnesota	US
Lake Round	Aitkin	Aitkin	633	475	59	12	Minnesota	US
Lake Round	Aitkin	Garrison	767	322	125	n/a	Minnesota	US
Lake Round	Anoka	Anoka	266	266	15	n/a	Minnesota	US
Lake Round	Becker	Ponsford	1087	473	69	10	Minnesota	US
Lake Round	Crow Wing	Nisswa	1644	627	51	n/a	Minnesota	US
Lake Round	Itasca	Big Fork	502	239	40	11.5	Minnesota	US
Lake Round	Hennepin	Eden Prairie	31	23	37	12	Minnesota	US
Lake Round	Itasca	Squaw Lake	2828	1968	24	7	Minnesota	US
Lake Round	Jackson	Round Lake	1024	1024	9	1.1	Minnesota	US
Lake Round	Otter Tail	Ottertail	262	220	36	3.4	Minnesota	US
Lake Roy	Mahnomen	Zerkel	653	638	16	6.5	Minnesota	US
Lake Ruby	Itasca	Grand Rapids	243	90	88	12	Minnesota	US
Lake Rush	Jackson	Jackson	293	293	3	0.7	Minnesota	US
Lake Rush	Otter Tail	Ottertail	5338	3325	68	4.5	Minnesota	US
Lake Rush	Sherburne	Clear Lake	142	142	11	1.9	Minnesota	US
Lake Rush (East)	Chisago	Rush City	1359	1033	24	2.4	Minnesota	US
Lake Rush (West)	Chisago	Rush City	1464	862	42	3.1	Minnesota	US
Lake Ruth	Crow Wing	Emily	588	200	39	21	Minnesota	US
Lake Sabin	St. Louis	Aurora	305	135	40	3	Minnesota	US
Lake Sabre	Lesueur	Cordova	263	263	13	7	Minnesota	US
Lake Saganaga	Cook	Grand Marais	17593		280	N/A	Minnesota	US
Lake Sallie	Becker	Detroit Lakes	1246	577	50	6	Minnesota	US
Lake Sand (Big)	Cass	Remer	736	635	23	8	Minnesota	US
Lake Sand (Little)	Cass	Remer	403	403	12	7	Minnesota	US
Lake Sand (Big)	Hubbard	Dorset	1659	465	135	17.3	Minnesota	US
Lake Sand (Little)	Hubbard	Dorset	386	149	80	15.5	Minnesota	US
Lake Sand	Itasca	Squaw Lake	4328	1897	70	7.1	Minnesota	US
Lake Sand	Lake	Isabella	476	476	11	4.5	Minnesota	US
Lake Sand	Pine	Moose Lake	501	215	47	12.6	Minnesota	US
Lake Sand	St. Louis	Virginia	701	701	15	12	Minnesota	US
Lake Sand	Stearns	Albany	202	202	12	2.9	Minnesota	US
Lake Sand Hill	Polk	Fosston	510	510	17	10	Minnesota	US
Lake Sandy	Beltrami	Tenstrike	260	200	32	5.3	Minnesota	US
Lake Sarah	Hennepin	Rockford	574	373	59	1.8	Minnesota	US
Lake Sarah	Murray	Garvin	1093	1093	11	2.5	Minnesota	US
Lake Sarah	Polk	Erskine	352	180	27	17	Minnesota	US
Lake Sauer	Becker	Detroit Lakes	212	84	39	11.5	Minnesota	US
Lake Sauk (Big)	Todd	Sauk Centre	2094	1389	59	4.1	Minnesota	US
Lake Sauk (Little)	Todd	Sauk Centre	268	161	29	6	Minnesota	US
Lake Saunders	Hennepin	Mound	70				Minnesota	US
Lake Sawbill	Cook	Tofte	765	445	45	4.5	Minnesota	US
Lake Scalp	Otter Tail	Frazee	243	67	90	15.5	Minnesota	US
Lake Scandinavian	Pope	Terrace	424	237	49	10	Minnesota	US
Lake School Grave	Lyon	Cottonwood	318	318	11	1.55	Minnesota	US
Lake Schubert (East Bass)	St. Louis	Cotton	205	140	24	7.5	Minnesota	US
Lake Schutz	Carver	Victoria	105	40	49	n/a	Minnesota	US
Lake Sea Gull	Cook	Grand Marais	4032	927	145	11.5	Minnesota	US
Lake Serpent	Crow Wing	Deerwood	1057	338	65	10	Minnesota	US
Lake Seventh Crow Wing	Hubbard	Nevis	254	120	42	7	Minnesota	US
Lake Sewell	Otter Tail	Dalton	338	168	52	17	Minnesota	US
Lake Shakopee	Mille Lacs	Onamia	675	675	15	5.7	Minnesota	US
Lake Shallow	Itasca	Warba	531	268	85	18.2	Minnesota	US
Lake Shaokotan	Lincoln	Ivanhoe	995	995	10	2	Minnesota	US
Lake Shell	Becker	Snellman	3140	3070	16	4	Minnesota	US
Lake Shetek	Murray	Currie	3596	3596	10	N/A	Minnesota	US
Lake Shible	Swift	Appleton	340	340	8.5	2	Minnesota	US
Lake Shields	Rice	Shieldsville	872	658.1	42	8	Minnesota	US
Lake Shoal	Itasca	Nashwauk	286	114	77	13.5	Minnesota	US
Lake Shoal	Itasca	Grand Rapids	645	645	7	4	Minnesota	US
Lake Side	St. Louis	Chisholm	372	153	32	14	Minnesota	US
Lake Silver	Clay	Hawley	114	36	39	6	Minnesota	US
Lake Silver	Otter Tail	Frazee	247	224	34	4.7	Minnesota	US
Lake Silver	Sibley	Arlington	621	621	8	1	Minnesota	US
Lake Silver Island	Lake	Isabella	1102	1102	15	7.5	Minnesota	US
Lake Siseebakwet (Sugar)	Itasca	Grand Rapids	1306	292	105	9	Minnesota	US
Lake Sissabagama	Aitkin	Aitkin	365	219	37	6.5	Minnesota	US
Lake Six Mile	Cass	Bena	1288	606	68	8.3	Minnesota	US
Lake Sixth Crow Wing	Hubbard	Nevis	320	160	40	5.7	Minnesota	US
Lake Skogman	Isanti	Cambridge	226	135	36	3.8	Minnesota	US
Lake Slate	Lake	Isabella	294	294	7	2.7	Minnesota	US
Lake Sleepy Eye	Brown	Mankato	277	203	21	2.5	Minnesota	US
Lake Smith	Crow Wing	Garrison	441	181	54	13.5	Minnesota	US
Lake Smith	Douglas	Alexandria	575	270	30	3.5	Minnesota	US
Lake Smith	St. Louis	Brimson	180	74	51	19	Minnesota	US
Lake Snail	Ramsey	Shoreview	150	130	30	9	Minnesota	US
Lake Snider	Mahnomen	Nay-tah-waush	632	268	29	8	Minnesota	US
Lake Snowbank	Lake	Ely	3303	879	150	21	Minnesota	US
Lake Somers	Wright	Maple Lake	158	128	21	2	Minnesota	US
Lake South Big Pine	Aitkin	Finlayson	372	96	28	9	Minnesota	US
Lake South Long (Lower)	Crow Wing	Brainerd	1313	461	47	9	Minnesota	US
Lake South Long (Upper)	Crow Wing	Brainerd	802	283	47	7	Minnesota	US
Lake South Stake	Becker	Lake Park	450	450	15	1.8	Minnesota	US
Lake South Turtle	Otter Tail	Underwood	630	398	35	15.8	Minnesota	US
Lake South Twin	Mahnomen	Waubun	1000	525	29	7	Minnesota	US
Lake South Walnut	Faribault	Wells	392	392	2	N/A	Minnesota	US
Lake Spectacle	Isanti	Cambridge	239	157	51.5	11.7	Minnesota	US
Lake Spellman	Yellow Medicine	Clarkfield					Minnesota	US
Lake Spider	Hubbard	Nevis	544	405	96	15	Minnesota	US
Lake Spider	Itasca	Marcell	1349	737	36	10.5	Minnesota	US
Lake Spirit	Aitkin	Bennettville	530	260	49	12	Minnesota	US
Lake Spirit	Wadena	Menahga	115	65	45	8.3	Minnesota	US
Lake Spitzer	Otter Tail	Urbank	728	631	33	9	Minnesota	US
Lake Split Hand	Itasca	Grand Rapids	1420	511	34	8.5	Minnesota	US
Lake Spoon	Lake	Winton	223	87	85	16	Minnesota	US
Lake Spoon	Ramsey	Maplewood	6.82	10	6	N/A	Minnesota	US
Lake Spring	Meeker	Dassel	218	165	30	4	Minnesota	US
Lake Spring	Polk	Lengby	136	44	35	6	Minnesota	US
Lake Spring	Scott	Prior Lake	580	290	37	2.3	Minnesota	US
Lake Spring	St. Louis	Crane Lake	194	49	60	15.5	Minnesota	US
Lake Square	Washington	Stillwater	195	65	68	2.1	Minnesota	US
Lake Stalker	Otter Tail	Underwood	1280	575	95	7.5	Minnesota	US
Lake Star	Meeker	Litchfield	557	557	15	2.9	Minnesota	US
Lake Star	Otter Tail	Dent	4721	2813	94	11.4	Minnesota	US
Lake Stark	Crow Wing	Emily	215	n/a	66	8	Minnesota	US
Lake Stay	Lincoln	Arco	224	224	6	0.8	Minnesota	US
Lake Steamboat	Cass	Cass Lake	1775	532	93	10	Minnesota	US
Lake Steep Bank	Lincoln	Hendricks	208	208	6.5	1	Minnesota	US
Lake Stella	Meeker	Darwin	553	226	75	5.6	Minnesota	US
Lake Stewart	Lake	Two Harbors	248	247	24	10.3	Minnesota	US
Lake Stingy	Itasca	Nashwauk	378	207	25	5.5	Minnesota	US
Lake Stinking	Becker	Lake Park	370	370	7	1.3	Minnesota	US
Lake Stocking	Wadena	Menahga	343	326	22	5	Minnesota	US
Lake Stone	St. Louis	Rollins	206	196	17	7	Minnesota	US
Lake Stony	Cass	Hackensack	595	178	50	22	Minnesota	US
Lake Stony	Lake	Isabella	227	227	4	3	Minnesota	US
Lake Stowe	Douglas	Brandon	366	366	14	4	Minnesota	US
Lake Straight	Becker	Osage	423	178	63	7	Minnesota	US
Lake Strawberry	Becker	White Earth	1522	563	40	18	Minnesota	US
Lake Stuart	Otter Tail	Vining	699	405	49	24	Minnesota	US
Lake Sturgeon	Pine	Sturgeon Lake	1405	495	40	8.7	Minnesota	US
Lake Sturgeon	St. Louis	Chisholm	1664	667	80	14.5	Minnesota	US
Lake Sugar	Aitkin	Glen	398	267	45	13	Minnesota	US
Lake Sugar	Cass	Remer	664	325	44	3.4	Minnesota	US
Lake Sugar	Itasca	Cass Lake	1585	1268	22	9	Minnesota	US
Lake Sugar	Wright	Maple Lake	1015	357	69	8	Minnesota	US
Lake Sugar Bush (Big)	Becker	Richwood	472	297	42	14.5	Minnesota	US
Lake Sugar Bush (Little)	Becker	Richwood	202	99	29	12.2	Minnesota	US
Lake Sullivan	Morrison	Harding	1221	567	57	n/a	Minnesota	US
Lake Sunrise	Chisago	Lindstrom	742	712	21	2.7	Minnesota	US
Lake Sunset	Washington	White Bear Lake	124	124	17	5	Minnesota	US
Lake Superior	Cook	Duluth	20365000		1333		Minnesota	US
Lake Swamp	Aitkin	Glen	273	273	5	4	Minnesota	US
Lake Swan	Itasca	Pengilly	2472	507	65	9.5	Minnesota	US
Lake Swan	McLeod	Silver Lake	343	343	10	N/A	Minnesota	US
Lake Swan	Nicollet	Nicollet	9346	N/A	8.5	N/A	Minnesota	US
Lake Swan	Otter Tail	Fergus Falls	689	371	44	11.5	Minnesota	US
Lake Swenson	Beltrami	Bemidji	388	136	76	17.5	Minnesota	US
Lake Sybil	Otter Tail	Vergas	706	423	74	13.5	Minnesota	US
Lake Sylvia	Wright	South Haven	652	170	78	17	Minnesota	US
Lake Talcot	Cottonwood	Dundee	678	678	6	1	Minnesota	US
Lake Tamarac	Otter Tail	Pelican Rapids	392	392	11	6	Minnesota	US
Lake Tamarack	Becker	Rochert	1431	1389	17	3.5	Minnesota	US
Lake Tamarack	Carlton	Wright	228	176	48	5	Minnesota	US
Lake Ten Mile	Cass	Hackensack	4669	1316	208	15.5	Minnesota	US
Lake Ten Mile	Otter Tail	Dalton	1411	597	51	8	Minnesota	US
Lake Tetonka	Lesueur	Waterville	1336	548	35	9	Minnesota	US
Lake Third Crow Wing	Hubbard	Hubbard	643	367	35	7	Minnesota	US
Lake Thief	Marshall	Gatzke (or Middle River)	N/A	N/A	15	N/A	Minnesota	US
Lake Thirteen	Cass	Cass Lake	470	329	50	10	Minnesota	US
Lake Thistle Dew	Itasca	Togo	318	73	45	13	Minnesota	US
Lake Thole	Scott	Shakopee	105	105	12	2.1	Minnesota	US
Lake Thornton	Aitkin	Deerwood	216	203	21	9	Minnesota	US
Lake Three	Clay	Hawley	105	N/A	14	1.5	Minnesota	US
Lake Three Island	Beltrami	Turtle River	678	635	25	7.75	Minnesota	US
Lake Three Island	Itasca	Marcell	235	66	66	18	Minnesota	US
Lake Thunder Lake	Cass	Remer	1330	226	95	20	Minnesota	US
Lake Tilde	Clay	Hitterdahl	259	259	13	2	Minnesota	US
Lake Timber	Jackson	Windom	198	198	8	0.9	Minnesota	US
Lake Toad	Becker	Osage	1666	561	29	7.5	Minnesota	US
Lake Tofte	Lake	Ely	155	42	73	13	Minnesota	US
Lake Tom	Cook	Hovland	576	334	35	7.5	Minnesota	US
Lake Town Line	Cass	Longville	510	510	11	10.5	Minnesota	US
Lake Traverse	Traverse	Browns Valley	11528	11528	12	N/A	Minnesota	US
Lake Trelipe (Lower)	Cass	Longville	602	355	32	6	Minnesota	US
Lake Trelipe (Upper)	Cass	Longville	409	143	69	12.5	Minnesota	US
Lake Triangle	Lake	Ely	309	160	43	16	Minnesota	US
Lake Trout	Cook	Grand Marais	257	59	77	17	Minnesota	US
Lake Trout	Itasca	Coleraine	1890	438	135	14.5	Minnesota	US
Lake Trout	Itasca	Grand Rapids	1753	386	157	10	Minnesota	US
Lake Trowbridge	Otter Tail	Vergas	620.8	272	76	9.9	Minnesota	US
Lake Tulaby	Mahnomen	Waubun	773	281	43	8.5	Minnesota	US
Lake Turtle (Big)	Beltrami	Bemidji	1436	718	45	8	Minnesota	US
Lake Turtle (Little)	Beltrami	Puposky	464	302	25	7	Minnesota	US
Lake Turtle	Douglas	Forada	220	183	21	2	Minnesota	US
Lake Turtle	Itasca	Marcell	2052	556	137	10.5	Minnesota	US
Lake Turtle	Polk	Fosston	545	545	12	2.3	Minnesota	US
Lake Turtle	Ramsey	Shoreview	409	245	28	4.5	Minnesota	US
Lake Turtle River	Beltrami	Turtle River	1740	688	63	10	Minnesota	US
Lake Tuscarora	Cook	BWCA	833	198	130	9.5	Minnesota	US
Lake Twin	Hennepin	Robbinsdale	212	172	44	4.6	Minnesota	US
Lake Twin	Otter Tail	Amor	333	189	50	16	Minnesota	US
Lake Twin	Todd	Grey Eagle	314	299	43	1.5	Minnesota	US
Lake Twin	Wright	South Haven	872	244	97	n/a	Minnesota	US
Lake Two Island	Cook	Grand Marais	731	702	27	9	Minnesota	US
Lake Two Rivers	Stearns	Holdingford	575	201	63	5.2	Minnesota	US
Lake Typo	Isanti	Stacy	295	295	6	1.5	Minnesota	US
Lake Uhlenkolts	Stearns	New Munich	258	N/A	18	9.5	Minnesota	US
Lake Union	Polk	Erskine	734	265	83	10.2	Minnesota	US
Lake Union	Rice	Little Chicago	403	403	10	3.6	Minnesota	US
Lake Bottle (Upper)	Hubbard	Dorset	465	176	55	9	Minnesota	US
Lake Upper Cormorant	Becker	Lake Park	856	471	29	3.9	Minnesota	US
Lake Upper Dean	Crow Wing	Emily	285	214	24	6.5	Minnesota	US
Lake Upper Gull	Cass	Nisswa	371	154	54	9.5	Minnesota	US
Lake Upper Lasalle	Clearwater	Lake Itasca	221	40	48	8	Minnesota	US
Lake Upper Pine	Pine	Finlayson	210	210	15	3.2	Minnesota	US
Lake Red (Upper)	Beltrami	Waskish	107832	N/A	18	N/A	Minnesota	US
Lake Upper Rice	Clearwater	Shevlin	1689	1689	13	N/A	Minnesota	US
Lake Vadnais (east)	Ramsey	Vadnais Heights	394	138	58	8	Minnesota	US
Lake Vadnais (west)	Ramsey	Vadnais Heights	216	216	9	2	Minnesota	US
Lake Vanduse	Aitkin	Palisade	230	189	27	n/a	Minnesota	US
Lake Vermilion	St. Louis	Tower	40557	15006	76	n/a	Minnesota	US
Lake Vermillion	Cass	Remer	397	230	27	8	Minnesota	US
Lake Vermont	Douglas	Miltona	309	207	59	18	Minnesota	US
Lake Victoria	Douglas	Alexandria	419	122	60	12.3	Minnesota	US
Lake Villard	Pope	Villard	536	488	16	2.8	Minnesota	US
Lake Virginia	Carver	Victoria	110	30	34	10.5	Minnesota	US
Lake Volney	Lesueur	Le Center	283	130	67	15	Minnesota	US
Lake Wabana	Itasca	Grand Rapids	2215	785	115	16	Minnesota	US
Lake Wabedo	Cass	Longville	1185	295	95	13.5	Minnesota	US
Lake Waboose	Becker	Ponsford	232	231.5	14	11	Minnesota	US
Lake Waconia	Carver	Waconia	2996	1660	37	4	Minnesota	US
Lake Wagonga	Kandiyohi	Willmar	1664	1664	15	1.9	Minnesota	US
Lake Walker	Otter Tail	Ottertail	540	342	29	4.7	Minnesota	US
Lake Wall	Otter Tail	Fergus Falls	683	229	34	5.5	Minnesota	US
Lake Washburn	Cass	Outing	1554	748	111	12.5	Minnesota	US
Lake Washington	Lesueur	Madison Lake	1487	783	51	2.2	Minnesota	US
Lake Washington	Meeker	Darwin	2639	2454	17	3.9	Minnesota	US
Lake Wassermann	Carver	Victoria	153	112	41	2	Minnesota	US
Lake Wasson	Itasca	Taconite	415	208	67	14	Minnesota	US
Lake Watab	sterns	St. Joseph					Minnesota	US
Lake Waukenabo	Aitkin	Palisade	644	292	38	5.5	Minnesota	US
Lake Waverly	Wright	Waverly	485	141	71	3	Minnesota	US
Lake Weaver	Hennepin	Maple Grove	149	76	57	3.4	Minnesota	US
Lake Webb	Cass	Hackensack	754	278	84	16	Minnesota	US
Lake West Battle	Otter Tail	Battle Lake	5624	2496	108	17.5	Minnesota	US
Lake West Chub	Lake	Isabella	114	114	12	7.5	Minnesota	US
Lake West Crooked	Hubbard	Nevis	279	142	50	16	Minnesota	US
Lake West Jefferson	Lesueur	Cleveland	441	348	24	1.5	Minnesota	US
Lake West Leaf	Otter Tail	Ottertail	684	256	55	9.9	Minnesota	US
Lake West Lost	Otter Tail	Underwood	723	692	16	9	Minnesota	US
Lake West McDonald	Otter Tail	Vergas	573	183	62	13.6	Minnesota	US
Lake West Silent	Otter Tail	Pelican Rapids	328	118	58	14	Minnesota	US
Lake West Twin	Lyon	Florence	232	232	10	2.8	Minnesota	US
Lake Whale	Cook	Grand Marais	21	21	10	7.5	Minnesota	US
Lake Whaletail	Hennepin	St Bonifacius	558	552	25	1.9	Minnesota	US
Lake White Bear	Ramsey / Washington	White Bear Lake	2416	1314	83	10.5	Minnesota	US
Lake White Earth	Becker	White Earth	2079	599	120	14.5	Minnesota	US
Lake White Elk	Aitkin	Swatara	854	n/a	4	4	Minnesota	US
Lake White Iron	St. Louis	Ely	3429	1603	47	4	Minnesota	US
Lake White Pine	Cook	Lutsen	342	342	10	4.1	Minnesota	US
