Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake Crawford	Wright	Montrose	109	107	19	14	Minnesota	US
Lake Crescent	Cook	Grand Marais	744	558	28	11	Minnesota	US
Lake Crooked	Itasca	Marble	418	104	60	3.1	Minnesota	US
Lake Cross	Crow Wing	Cross Lake	1751	879	84	12	Minnesota	US
Lake Cross	Pine	Pine City	943	507	30	4	Minnesota	US
Lake Cross	Polk	Fosston	328	303	19	7	Minnesota	US
Lake Crow Wing	Crow Wing	Ft Ripley	382	210	26	7	Minnesota	US
Lake Cruiser	St. Louis	Ray	115	22	91	27	Minnesota	US
Lake Crystal	Dakota	Burnsville	280	208	37	2.8	Minnesota	US
Lake Crystal	Otter Tail	Pelican Rapids	1412	674	55	6.8	Minnesota	US
Lake Crystal	Stevens	Morris	N/A	N/A	N/A	N/A	Minnesota	US
Lake Cullen (Lower)	Crow Wing	Nisswa	512	180	39	11	Minnesota	US
Lake Cullen (Middle)	Crow Wing	Nisswa	382	127	48	14.5	Minnesota	US
Lake Cullen (Upper)	Crow Wing	Nisswa	435	300	40	16	Minnesota	US
Lake Currant	Murray	Balaton	377	377	9.5	0.9	Minnesota	US
Lake Cut Foot Sioux	Itasca	Squaw Lake	2768	1324	78	12.2	Minnesota	US
Lake Cutaway	Itasca	Bovey	257	98	55	12	Minnesota	US
Lake Dago	Pine	Willow River	107	107	20	11	Minnesota	US
Lake Dam	Aitkin	Aitkin	642	256	48	10.5	Minnesota	US
Lake Dark	St. Louis	Buhl	232	138	31	17	Minnesota	US
Lake Darling	Douglas	Alexandria	954	477	62	9	Minnesota	US
Lake Dead	Becker	Frazee	274	249	19	1.8	Minnesota	US
Lake Dead	Hubbard	Dorset	292	172	34	16	Minnesota	US
Lake Dead	Otter Tail	Dent	7901	6537	65	4.83	Minnesota	US
Lake Dead Coon	Lincoln	Arco	569	569	9	2.5	Minnesota	US
Lake Dean	Wright	Buffalo	173	125	20	3.5	Minnesota	US
Lake Deer	Beltrami	Bemidji	262	118	42	N/A	Minnesota	US
Lake Deer	Itasca	Deer River	4097	920	121	9.5	Minnesota	US
Lake Deer	Itasca	Effie	1748	1332	50	10.5	Minnesota	US
Lake Deer	Otter Tail	Battle Lake	457	306	26	9.5	Minnesota	US
Lake Deer	Wright	Buffalo	163	126	27	4.5	Minnesota	US
Lake Demontreville	Washington	Lake Elmo	143	129	24	12	Minnesota	US
Lake Detroit	Becker	Detroit Lakes	3083	1895	89	7.3	Minnesota	US
Lake Devil Track	Cook	Grand Marais	1838	626	50	N/A	Minnesota	US
Lake Devils	Douglas	Brandon	221	150	35	7.5	Minnesota	US
Lake Devils	Otter Tail	Perham	314	211	67	13.2	Minnesota	US
Lake Dewey	St. Louis	Chisholm	195	76	40	11	Minnesota	US
Lake Diamond	Hennepin	Rogers	408	406	8	n/a	Minnesota	US
Lake Diamond	Kandiyohi	Atwater	1565	635	27	3	Minnesota	US
Lake Dinham	St. Louis	Melrude	207	132	25	3.5	Minnesota	US
Lake Dixon	Itasca	Squaw Lake	616	478	29	5.5	Minnesota	US
Lake Dolney	Crow Wing	Emily	271	268	16	11	Minnesota	US
Lake Dora	Itasca	Wirt	447	422	18	8.7	Minnesota	US
Lake Doran	Clay	Hawley	112	N/A	7	2.5	Minnesota	US
Lake Double	Cottonwood	Storden	246	246	9	2	Minnesota	US
Lake Dovre	St. Louis	Crane Lake	120	114	17	5	Minnesota	US
Lake Duck	Hubbard	Hubbard	326	151	23	5.5	Minnesota	US
Lake Dumbbell	Lake	Isabella	437	202	40	22	Minnesota	US
Lake Dunbar	Itasca	Squaw Lake	254	162	30	5	Minnesota	US
Lake Dutch	Hennepin	Mound	160	83	45	2.3	Minnesota	US
Lake Dutch	Wright	Howard Lake	153	112	21	2.3	Minnesota	US
Lake Eagle	Becker	Frazee	308	141	29	7.2	Minnesota	US
Lake Eagle	Blue Earth	Madison Lake	914	914	9	1.5	Minnesota	US
Lake Eagle	Crow Wing	Deerwood	239	65	44	4.9	Minnesota	US
Lake Eagle	Crow Wing	Fifty Lakes	358	190	36	15.8	Minnesota	US
Lake Eagle	Hennepin	Maple Grove	291	199	34	4.3	Minnesota	US
Lake Eagle	Hubbard	Park Rapids	411	164	77	9	Minnesota	US
Lake Eagle	Itasca	Marcell	279	209	47	n/a	Minnesota	US
Lake Eagle	Kandiyohi	Willmar	824	274	67	8.5	Minnesota	US
Lake Eagle	Otter Tail	Battle Lake	845	157	46	22.6	Minnesota	US
Lake Eagle	Sherburne	Big Lake	381	330	18	2	Minnesota	US
Lake Eagle	Wright	Maple Lake	244	169	38	4.2	Minnesota	US
Lake Eagles Nest 1	St. Louis	Ely	322	88	76	19	Minnesota	US
Lake Eagles Nest 2	St. Louis	Ely	408	229	39	14	Minnesota	US
Lake Eagles Nest 3	St. Louis	Soudan	1001	553	49	18	Minnesota	US
Lake Eagles Nest 4	St. Louis	Ely	177	83	49	18	Minnesota	US
Lake East Battle	Otter Tail	Henning	1949	825	87	7.7	Minnesota	US
Lake East Chub	Lake	Isabella	64	64	9	N/A	Minnesota	US
Lake East Crooked	Hubbard	Nevis	365	120	96	17.5	Minnesota	US
Lake East Jefferson	Lesueur	Cleveland	700	343	37	4	Minnesota	US
Lake East Leaf	Otter Tail	Henning	404	113	47	8	Minnesota	US
Lake East Lost	Otter Tail	Battle Lake	501	327	36	10.2	Minnesota	US
Lake East Side	Mower	Austin	39	39	10	2	Minnesota	US
Lake East Silent	Otter Tail	Dent	310	58	48	16	Minnesota	US
Lake East Soloman	Kandiyohi	Willmar	706	706	14	12	Minnesota	US
Lake East Twin	Lyon	Florence	352	224	22	3.2	Minnesota	US
Lake Eden	Stearns	Eden Valley	263	124	77	5.5	Minnesota	US
Lake Edward	Crow Wing	Merrifield	2032	1198	75	9.5	Minnesota	US
Lake Eighth Crow Wing	Hubbard	Nevis	492	153	30	n/a	Minnesota	US
Lake Elbow	Becker	Waubun	1001	200	76	15	Minnesota	US
Lake Elbow	Cook	Grand Marais	437	437	9	4.5	Minnesota	US
