name,place,county,state,country
Lake Swan, Otter Tail, Fergus Falls, Minnesota, US
Lake Swenson, Beltrami, Bemidji, Minnesota, US
Lake Sybil, Otter Tail, Vergas, Minnesota, US
Lake Sylvia, Wright, South Haven, Minnesota, US
Lake Talcot, Cottonwood, Dundee, Minnesota, US
Lake Tamarac, Otter Tail, Pelican Rapids, Minnesota, US
Lake Tamarack, Becker, Rochert, Minnesota, US
Lake Tamarack, Carlton, Wright, Minnesota, US
Lake Ten Mile, Cass, Hackensack, Minnesota, US
Lake Ten Mile, Otter Tail, Dalton, Minnesota, US
Lake Tetonka, Lesueur, Waterville, Minnesota, US
Lake Third Crow Wing, Hubbard, Hubbard, Minnesota, US
Lake Thief, Marshall, Gatzke (or Middle River), Minnesota, US
Lake Thirteen, Cass, Cass Lake, Minnesota, US
Lake Thistle Dew, Itasca, Togo, Minnesota, US
Lake Thole, Scott, Shakopee, Minnesota, US
Lake Thornton, Aitkin, Deerwood, Minnesota, US
Lake Three, Clay, Hawley, Minnesota, US
Lake Three Island, Beltrami, Turtle River, Minnesota, US
Lake Three Island, Itasca, Marcell, Minnesota, US
Lake Thunder Lake, Cass, Remer, Minnesota, US
Lake Tilde, Clay, Hitterdahl, Minnesota, US
Lake Timber, Jackson, Windom, Minnesota, US
Lake Toad, Becker, Osage, Minnesota, US
Lake Tofte, Lake, Ely, Minnesota, US
Lake Tom, Cook, Hovland, Minnesota, US
Lake Town Line, Cass, Longville, Minnesota, US
Lake Traverse, Traverse, Browns Valley, Minnesota, US
Lake Trelipe (Lower), Cass, Longville, Minnesota, US
Lake Trelipe (Upper), Cass, Longville, Minnesota, US
Lake Triangle, Lake, Ely, Minnesota, US
Lake Trout, Cook, Grand Marais, Minnesota, US
Lake Trout, Itasca, Coleraine, Minnesota, US
Lake Trout, Itasca, Grand Rapids, Minnesota, US
Lake Trowbridge, Otter Tail, Vergas, Minnesota, US
Lake Tulaby, Mahnomen, Waubun, Minnesota, US
Lake Turtle (Big), Beltrami, Bemidji, Minnesota, US
Lake Turtle (Little), Beltrami, Puposky, Minnesota, US
Lake Turtle, Douglas, Forada, Minnesota, US
Lake Turtle, Itasca, Marcell, Minnesota, US
Lake Turtle, Polk, Fosston, Minnesota, US
Lake Turtle, Ramsey, Shoreview, Minnesota, US
Lake Turtle River, Beltrami, Turtle River, Minnesota, US
Lake Tuscarora, Cook, BWCA, Minnesota, US
Lake Twin, Hennepin, Robbinsdale, Minnesota, US
Lake Twin, Otter Tail, Amor, Minnesota, US
Lake Twin, Todd, Grey Eagle, Minnesota, US
Lake Twin, Wright, South Haven, Minnesota, US
Lake Two Island, Cook, Grand Marais, Minnesota, US
Lake Two Rivers, Stearns, Holdingford, Minnesota, US
Lake Typo, Isanti, Stacy, Minnesota, US
Lake Uhlenkolts, Stearns, New Munich, Minnesota, US
Lake Union, Polk, Erskine, Minnesota, US
Lake Union, Rice, Little Chicago, Minnesota, US
Lake Bottle (Upper), Hubbard, Dorset, Minnesota, US
Lake Upper Cormorant, Becker, Lake Park, Minnesota, US
Lake Upper Dean, Crow Wing, Emily, Minnesota, US
Lake Upper Gull, Cass, Nisswa, Minnesota, US
Lake Upper Lasalle, Clearwater, Lake Itasca, Minnesota, US
Lake Upper Pine, Pine, Finlayson, Minnesota, US
Lake Red (Upper), Beltrami, Waskish, Minnesota, US
Lake Upper Rice, Clearwater, Shevlin, Minnesota, US
Lake Vadnais (east), Ramsey, Vadnais Heights, Minnesota, US
Lake Vadnais (west), Ramsey, Vadnais Heights, Minnesota, US
Lake Vanduse, Aitkin, Palisade, Minnesota, US
Lake Vermilion, St. Louis, Tower, Minnesota, US
Lake Vermillion, Cass, Remer, Minnesota, US
Lake Vermont, Douglas, Miltona, Minnesota, US
Lake Victoria, Douglas, Alexandria, Minnesota, US
Lake Villard, Pope, Villard, Minnesota, US
Lake Virginia, Carver, Victoria, Minnesota, US
Lake Volney, Lesueur, Le Center, Minnesota, US
Lake Wabana, Itasca, Grand Rapids, Minnesota, US
Lake Wabedo, Cass, Longville, Minnesota, US
Lake Waboose, Becker, Ponsford, Minnesota, US
Lake Waconia, Carver, Waconia, Minnesota, US
Lake Wagonga, Kandiyohi, Willmar, Minnesota, US
Lake Walker, Otter Tail, Ottertail, Minnesota, US
Lake Wall, Otter Tail, Fergus Falls, Minnesota, US
Lake Washburn, Cass, Outing, Minnesota, US
Lake Washington, Lesueur, Madison Lake, Minnesota, US
Lake Washington, Meeker, Darwin, Minnesota, US
Lake Wassermann, Carver, Victoria, Minnesota, US
Lake Wasson, Itasca, Taconite, Minnesota, US
Lake Watab, sterns, St. Joseph, Minnesota, US
Lake Waukenabo, Aitkin, Palisade, Minnesota, US
Lake Waverly, Wright, Waverly, Minnesota, US
Lake Weaver, Hennepin, Maple Grove, Minnesota, US
Lake Webb, Cass, Hackensack, Minnesota, US
Lake West Battle, Otter Tail, Battle Lake, Minnesota, US
Lake West Chub, Lake, Isabella, Minnesota, US
Lake West Crooked, Hubbard, Nevis, Minnesota, US
Lake West Jefferson, Lesueur, Cleveland, Minnesota, US
Lake West Leaf, Otter Tail, Ottertail, Minnesota, US
Lake West Lost, Otter Tail, Underwood, Minnesota, US
Lake West McDonald, Otter Tail, Vergas, Minnesota, US
Lake West Silent, Otter Tail, Pelican Rapids, Minnesota, US
Lake West Twin, Lyon, Florence, Minnesota, US
Lake Whale, Cook, Grand Marais, Minnesota, US
Lake Whaletail, Hennepin, St BonifaciUS Minnesota, US
Lake White Bear, Ramsey / Washington, White Bear Lake, Minnesota, US
Lake White Earth, Becker, White Earth, Minnesota, US
Lake White Elk, Aitkin, Swatara, Minnesota, US
Lake White Iron, St. Louis, Ely, Minnesota, US
Lake White Pine, Cook, Lutsen, Minnesota, US
Lake White Swan, Itasca, Bigfork, Minnesota, US
Lake Whiteface, St. Louis, Markham, Minnesota, US
Lake Whitefish, Crow Wing, Cross Lake, Minnesota, US
Lake Whitefish, Crow Wing, Garrison, Minnesota, US
Lake Whitefish, Itasca, Wirt, Minnesota, US
Lake Whitefish, Lake, Tofte, Minnesota, US
Lake Whitefish, Polk, Fosston, Minnesota, US
Lake Whitewater, St. Louis, Hoyt Lakes, Minnesota, US
Lake Wilkins, Aitkin, Palisade, Minnesota, US
Lake Wilson, Lake, Schroeder, Minnesota, US
Lake Wilson, Murray, Lake Wilson, Minnesota, US
Lake Wimar, Otter Tail, Frazee, Minnesota, US
Lake Winchester, St. Louis, Orr, Minnesota, US
Lake Windigo, Beltrami, Bemidji, Minnesota, US
Lake Windy, Lake, Isabella, Minnesota, US
Lake Winnibigoshish, Cass, Deer River, Minnesota, US
Lake Winona, Winona, Winona, Minnesota, US
Lake Winsted, McLeod, Winsted, Minnesota, US
Lake Wirth, Hennepin, Golden Valley, Minnesota, US
Lake Wolf, Becker, Wolf Lake, Minnesota, US
Lake Wolf, Meeker, Dassel, Minnesota, US
Lake Wolf, St. Louis, Ely, Minnesota, US
Lake Woman, Cass, Longville, Minnesota, US
Lake Wood, Lyon, Russell, Minnesota, US
Lake Wood, Yellow Medicine, Wood Lake, Minnesota, US
Lake Worm, Grant, Elbow Lake, Minnesota, US
Lake Yankton, Lyon, Balaton, Minnesota, US
Lake Zumbra, Carver, Victoria, Minnesota, US
